iter	candidate_id	agent	branch	commit	artifact	command	predicted	measured	control	delta_vs_champion	record	run_id	provenance	note
2	c2c-register-readahead	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--h2d_register_--readahead	7900	6731.389521	4246.413631	+0.031pct_vs_c2b	N	35176504/sdfada015/a1746c8f	verified	NULL-below-floor against c2b (+0.031 pct vs 4.04 pct control drift). Readahead adds nothing once the pool is pinned because the depth-2 FIFO already supplies the overlap. Phase table is the finding: sync_wait 201.51 s of a 205.05 s wall = 98.3 pct, the host is idle and the pipeline is DEVICE-BOUND
2	control-b	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--h2d_device_put	4069	4417.784410	4246.413631	+4.036pct	N	35176504/sdfada015/a1746c8f	verified	same-iteration champion control repeated AFTER the candidates; the 4.036 pct gap to control-a IS this iteration measured within-iteration drift at the origin configuration
2	proof-reject-150	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	SRSVD_WARMUP_SKIP=concat_--h2d_device_put_--steady-window-s_150	-	4008.622700	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; THE WATCHDOG REJECT PROOF, outstanding from iteration 1, NOW FIRES: compiles_in_window 1 naming trace/lower/compile jit(concatenate) at 0.968519 s of a 150.027289 s span, EXIT 4. The 150 s window spans seq [34,1900] and so crosses the pass boundary at block 1440 where the deferred compile lands. Its 13.362 GB/s is NOT a throughput result
2	control-degraded-30/20/8	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--degraded-rank_{30,20,8}_--steady-window-s_60	-	BREAKDOWN	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; FAILED-no-gate-values at EVERY rank tried (30, 20, 8, and rank 2 in iteration 1): next_sketch breaks down at pass boundary 1/3 with a non-finite (L,L) Cholesky BEFORE any factorisation exists, exit 1. --degraded-rank is structurally a breakdown control on this store at L=42 and cannot produce gate values at any rank; superseded by a --q 0 control queued for iteration 3
3	control-champ-a	iter03-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6729	6727.283413	6727.283413	0	N	35176504/sdfada015/a1746c8f	verified	champion re-measured in-iteration BEFORE the candidates, from .venv-champ; span 300.130677; reconcile OK 6268x1GiB; compiles_in_window 0; gate PASS all four BINDING; util median 100 pct
3	control-newcode	iter03-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--wire-dtype_float32	6729_+-4pct	6724.656128	6727.283413	-0.039pct	N	35176504/sdfada015/a1746c8f	verified	NOT A CANDIDATE - the R5 NEUTRALITY TEST. The bf16 SHAs at --wire-dtype float32 sit -0.039 pct from the champion, HALF the 0.0812 pct noise floor, so the 301 changed lines of stream.py are neutral at f32 and the bf16 delta is attributable to the dtype alone. wire_bytes_per_block=0, dma_pool=staging, wire pool inert
3	c3a-bf16	iter03-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--wire-dtype_bfloat16	10100	9890.775672	6727.283413	+47.028pct	Y	35176504/sdfada015/a1746c8f	verified	NEW CHAMPION, numerics-affecting (wire dtype; numerics_affecting=yes). 2.430x the origin median 4069.478 and 90.0 pct of the 10992 GB read roof. PREDICTION INSIDE BAND (9600-10600). THE BOTTLENECK FLIPPED: read 136.476 s = 98.13 pct of a 139.077 s wall, sync_wait 71.808->0.138 s, util median 100->80 - device-bound became READ-bound. Conversion nearly free: read +4.24 pct = +1.283 ms/block. Wire pool 2684354560 B PINNED in 1.085 s before the window; dma_pool switches staging->wire; wire_bytes_per_block 536870912. Gate PASS G1 3.652369e-06 (27x) G2 1.389044e-05 (72x) G3 2.076572e-03 (4.8x, TIGHTEST) G4 2.263700e-04 (221x), all BINDING; span 300.048765; reconcile OK 9213x1GiB; compiles_in_window 0
3	c3b-bf16-t32	iter03-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	code+flag	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--wire-dtype_bfloat16_--threads_32	NULL_expected	7834.522665	6727.283413	-20.79pct_vs_c3a	N	35176504/sdfada015/a1746c8f	verified	HARMFUL, not the NULL I predicted: -20.79 pct against c3a. Mechanism measured: read grows 136.476->173.521 s (+27 pct) while every other bucket is unchanged, so 32 threads slows the O_DIRECT read itself. whole-job also found --threads 32 harmful; now confirmed under a DIFFERENT regime (read-bound, conversion in the reader threads), so the finding is robust. Gate PASS, numerics unchanged to ~1 pct
3	control-champ-b	iter03-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6729	6721.820411	6727.283413	-0.081pct	N	35176504/sdfada015/a1746c8f	verified	champion control repeated AFTER the candidates. With control-champ-a this gives the NOISE FLOOR OF THE PINNED CONFIGURATION = 0.0812 pct (n=2), against 4.036 pct unpinned in iteration 2 - a ~50x reduction, because the origin 9 pct floor lived entirely in the pageable path
3	control-q0	iter03-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--q_0_--steady-window-s_60	-	GATE_FAILED	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible (fewer passes is never record-eligible); THE DEGRADED GATE CONTROL, outstanding since iteration 1, NOW OBTAINED. The SAME gate REJECTS a valid-but-worse factorisation with every value printed: G1 1.927512e-02 FAIL, G2 6.159399e-01 FAIL, G3 1.144574e-01 FAIL, G4 4.482072e-01 FAIL and BINDING, rejected_by [G4_residual_excess], EXIT 3 - reproducing whole-job own 4.4821e-01. No breakdown at any pass boundary, unlike --degraded-rank at ranks 30/20/8/2
4	control-c4a	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	9891	9738.620675	9738.620675	0	N	35176504/sdfada015/a1746c8f	verified	champion re-measured BEFORE the sweep; read 33.773 GB/s; -1.54 pct vs iteration 3 c3a, i.e. CROSS-ITERATION drift already exceeds the 0.0812 pct within-iteration floor
4	c4a-chunk16M	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--read-chunk-bytes_16777216	10050	9229.899641	9738.620675	-5.22pct	N	35176504/sdfada015/a1746c8f	verified	REGRESSION vs its pre-drift neighbour; read 32.187 GB/s. Prediction 9900-10250 REFUTED in direction
4	c4b-chunk32M	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--read-chunk-bytes_33554432	10100	6615.847241	7158.282010	-7.58pct_vs_control-c4b	N	35176504/sdfada015/a1746c8f	verified	the ONLY sweep item with an effect outside the drift band: -7.58 pct against the contemporaneous post-drift control; read 22.567 GB/s. Prediction 9900-10400 REFUTED in direction
4	c4c-threads24	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--threads_24	9800	7263.669298	7158.282010	+1.47pct_vs_control-c4b	N	35176504/sdfada015/a1746c8f	verified	NULL-below-floor against the contemporaneous control. Looks like -25.41 pct only against the PRE-DRIFT control-c4a, which is the contamination this iteration exposed
4	c4d-threads12	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--threads_12	9750	7145.683655	7158.282010	-0.18pct_vs_control-c4b	N	35176504/sdfada015/a1746c8f	verified	NULL-below-floor against the contemporaneous control
4	c4e-blockrows16384	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--block-rows_16384	10150	7306.033341	7158.282010	+2.06pct_vs_control-c4b	N	35176504/sdfada015/a1746c8f	verified	NULL-below-floor on throughput, but NUMERICS-AFFECTING and that is the finding: G1 6.2066e-05 = 17x the 8192 value and 62 pct of its 1e-4 threshold, the tightest gate margin of the campaign; G2 8.9177e-05 (8x); G4 1.7026e-03 (7.5x, and 3.4x its own lower floor vs 0.46x at 8192). 2 GiB blocks change the accumulation order, so --block-rows is NOT numerics-neutral. No OOM: pools doubled cleanly, wire pool 5368709120 B pinned in 2.096 s. Per-block overheads halve as predicted (dispatch 2.208->1.065 s) but read share RISES to 99.24 pct
4	control-c4b	iter04-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	9738	7158.282010	9738.620675	-26.50pct	N	35176504/sdfada015/a1746c8f	verified	THE FINDING OF THE ITERATION. Byte-identical to control-c4a and measured 47 min later: -26.4959 pct, read 33.773->24.402 GB/s. (max-min)/median over the two controls = 30.54 pct against iteration 3 pinned floor of 0.0812 pct. The degradation is a STEP not a slope (rows 1-2 fast, rows 3-7 all in a 22.6-24.7 GB/s band) and is host/media-side: clocks pegged 2520 MHz, throttle mask 0x0 and read_wait_s exactly 0 on every row, so it is not a consumer stall or DVFS. NO NEW CHAMPION THIS ITERATION; c3a-bf16 stands
5	champ-r1	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6900-9900	7129.980141	7138.199539	-	N	35176504/sdfada015/a1746c8f	verified	DIAGNOSIS iteration, no candidate. Champion run 1 of 5 back-to-back. Median 7138.199539; (max-min)/median = 0.6319 pct = THE NEW NOISE FLOOR at n=5, replacing the n=2 figure 0.0812 pct. Stable, not drifting, not bimodal (sorted gaps 5.05/8.22/8.26/23.57 GB inside a 45.1 GB band; extremes are adjacent in time). Implied read 24.3 GB/s, unrecovered from iteration 4
5	champ-r2	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6900-9900	7146.458174	7138.199539	-	N	35176504/sdfada015/a1746c8f	verified	DIAGNOSIS iteration, no candidate. Champion run 2 of 5 back-to-back. Median 7138.199539; (max-min)/median = 0.6319 pct = THE NEW NOISE FLOOR at n=5, replacing the n=2 figure 0.0812 pct. Stable, not drifting, not bimodal (sorted gaps 5.05/8.22/8.26/23.57 GB inside a 45.1 GB band; extremes are adjacent in time). Implied read 24.3 GB/s, unrecovered from iteration 4
5	champ-r3	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6900-9900	7138.199539	7138.199539	-	N	35176504/sdfada015/a1746c8f	verified	DIAGNOSIS iteration, no candidate. Champion run 3 of 5 back-to-back. Median 7138.199539; (max-min)/median = 0.6319 pct = THE NEW NOISE FLOOR at n=5, replacing the n=2 figure 0.0812 pct. Stable, not drifting, not bimodal (sorted gaps 5.05/8.22/8.26/23.57 GB inside a 45.1 GB band; extremes are adjacent in time). Implied read 24.3 GB/s, unrecovered from iteration 4
5	champ-r4	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6900-9900	7124.925978	7138.199539	-	N	35176504/sdfada015/a1746c8f	verified	DIAGNOSIS iteration, no candidate. Champion run 4 of 5 back-to-back. Median 7138.199539; (max-min)/median = 0.6319 pct = THE NEW NOISE FLOOR at n=5, replacing the n=2 figure 0.0812 pct. Stable, not drifting, not bimodal (sorted gaps 5.05/8.22/8.26/23.57 GB inside a 45.1 GB band; extremes are adjacent in time). Implied read 24.3 GB/s, unrecovered from iteration 4
5	champ-r5	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_register_--wire-dtype_bfloat16_--read-chunk-bytes_8388608_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	6900-9900	7170.030206	7138.199539	-	N	35176504/sdfada015/a1746c8f	verified	DIAGNOSIS iteration, no candidate. Champion run 5 of 5 back-to-back. Median 7138.199539; (max-min)/median = 0.6319 pct = THE NEW NOISE FLOOR at n=5, replacing the n=2 figure 0.0812 pct. Stable, not drifting, not bimodal (sorted gaps 5.05/8.22/8.26/23.57 GB inside a 45.1 GB band; extremes are adjacent in time). Implied read 24.3 GB/s, unrecovered from iteration 4
5	probe-standalone-reader	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	iter01_probe_read.py_UNCHANGED_md5_c054b1947628b23733e14c64e8aa449a_8192_16_skip512_224GiB	-	36.88_GBps_read	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; THE DISCRIMINATING MEASUREMENT. Four runs 36.8842/36.8144/36.7831/36.8184 GB/s, spread 0.275 pct, against iteration 1 36.6416 - the MEDIA IS FINE and marginally faster. Same store, same hour, while the champion reads 24.3. H2 (host-side pool) is the only hypothesis left
5	probe-raw-dd	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	dd_iflag=direct_16_streams_8GiB_each_bs8M	-	37.4671_GBps	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; raw media 37.4671 GB/s vs iteration 1 33.4369 = +12.05 pct. Refutes any media-degradation story
5	probe-idle-recovery	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	12_min_proven_idle_then_iter01_probe	-	36.8184_GBps	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; H1 (NVMe thermal/device state) REFUTED. Idleness PROVEN - md0 rd_sectors 391388549441 unchanged across 24 consecutive 30 s samples, delta 0 every time - and the probe afterwards is identical to the three no-idle runs. Nothing to recover. CAVEAT: nvme smart-log is Permission denied on all eight devices (root:disk) and there is no NVMe hwmon node, so H1 is refuted by consequence, not by the drives own counters
5	probe-iostat	iter05-diagnostic-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	iostat_-x_2_+_procdiskstats_deltas_on_md0_and_members	-	all_6_members_6.16_GBps	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; H3 present as a FACT but refuted as the CAUSE. Node not exclusive in practice - 11 root wekanode processes, 7 pegged at 100-101 pct CPU hard-pinned to single cpus, loadavg 12.24/14.41/18.47 with our job idle - but zero writes on md0 and every member, all six within 0.04 pct of each other (6165008-6167472 kB/s), and the weka load is CONSTANT across both the fast probe and the slow champion so it cannot explain a difference between them
6	probe-cliff-sweep	iter06-runner	ooc-throughput	lib@38be495266b853f6be3f550bf0e5f5a7ed6072b3+bench@b051d96f262fbfd30dc4eca1dc857f59fb12b5ab	diagnostic	probe_read_pool.py_nbuf_1..16_randomised_order_4,16,1,8,2	-	NO_CLIFF	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; HUGE-PAGE HYPOTHESIS REFUTED. rotate=0 (iteration-1 identical) is FLAT across a 16x pool-size change: 36.8836/36.9260/36.8181/36.8715/36.8559 GB/s at 1/2/4/8/16 GiB, spread 0.42 pct. The apparent slope under rotate=1 (36.75/35.91/34.52/31.99/28.01) is FIRST-TOUCH of shmem pages inside the timed loop and vanishes with pretouch (37.62/37.52/37.35/37.24/37.09). Priced directly: 1.77-1.97 GB/s to fault in 4 KiB shmem pages single-threaded
